,0,1
0,0.1998002,12.202917
1,0.3996004,11.982011
2,0.5994006,11.664045
3,0.7992008,11.395186
4,0.999001,11.254693
5,1.1988012,11.269056
6,1.3986014,11.429477
7,1.5984015,11.707601
8,1.7982018,12.068127
9,1.998002,12.47638
10,2.1978023,12.902902
11,2.3976023,13.324951
12,2.5974026,13.726543
13,2.7972028,14.097827
14,2.997003,14.433647
15,3.196803,14.732364
16,3.3966033,14.99496
17,3.5964036,15.223919
18,3.7962039,15.422711
19,3.996004,15.595226
20,4.195804,15.745281
21,4.3956046,15.876813
22,4.5954046,15.993327
23,4.7952046,16.097996
24,4.995005,16.193684
25,5.194805,16.282917
26,5.394605,16.367964
27,5.5944057,16.45073
28,5.7942057,16.532892
29,5.994006,16.61591
30,6.193806,16.70097
31,6.393606,16.789223
32,6.5934067,16.88139
33,6.7932067,16.97834
34,6.993007,17.080662
35,7.192807,17.188723
36,7.392607,17.30283
37,7.5924077,17.423195
38,7.7922077,17.549927
39,7.992008,17.682936
40,8.191808,17.822199
41,8.391608,17.967445
42,8.591409,18.118412
43,8.791209,18.274803
44,8.991009,18.436256
45,9.190809,18.602348
46,9.39061,18.772568
47,9.590409,18.946598
48,9.79021,19.123913
49,9.99001,19.303955
50,10.18981,19.48637
51,10.38961,19.670742
52,10.589411,19.856525
53,10.78921,20.043472
54,10.989011,20.231026
55,11.188811,20.418915
56,11.388612,20.606812
57,11.588411,20.794388
58,11.788212,20.981434
59,11.988012,21.167679
60,12.187812,21.352928
61,12.387612,21.536972
62,12.587413,21.719631
63,12.787212,21.900883
64,12.987013,22.080555
65,13.186813,22.258568
66,13.386614,22.434883
67,13.586413,22.609463
68,13.786214,22.782265
69,13.986014,22.953278
70,14.185814,23.122551
71,14.385614,23.290062
72,14.585415,23.455868
73,14.785214,23.61998
74,14.985015,23.782421
75,15.184815,23.943272
76,15.384615,24.102634
77,15.584415,24.260479
78,15.784216,24.416946
79,15.984016,24.572021
80,16.183817,24.725815
81,16.383615,24.878372
82,16.583416,25.029781
83,16.783216,25.180096
84,16.983017,25.329388
85,17.182817,25.477734
86,17.382618,25.625137
87,17.582418,25.771729
88,17.782217,25.917477
89,17.982018,26.062546
90,18.181818,26.206917
91,18.381618,26.350677
92,18.581419,26.493828
93,18.78122,26.636494
94,18.981018,26.77864
95,19.180819,26.920341
96,19.38062,27.06166
97,19.58042,27.202633
98,19.78022,27.34325
99,19.98002,27.483582
100,20.179821,27.62363
101,20.37962,27.763428
102,20.57942,27.903023
103,20.77922,28.042446
104,20.979021,28.18171
105,21.178822,28.32082
106,21.378622,28.459843
107,21.57842,28.598728
108,21.778221,28.737549
109,21.978022,28.8763
110,22.177822,29.014984
111,22.377623,29.153599
112,22.577423,29.292229
113,22.777224,29.430824
114,22.977022,29.569408
115,23.176823,29.708
116,23.376623,29.846523
117,23.576424,29.985119
118,23.776224,30.1237
119,23.976025,30.262325
120,24.175825,30.400936
121,24.375624,30.539597
122,24.575424,30.678257
123,24.775225,30.816978
124,24.975025,30.955708
125,25.174826,31.09444
126,25.374626,31.23323
127,25.574425,31.372017
128,25.774225,31.510818
129,25.974026,31.649689
130,26.173826,31.788506
131,26.373627,31.927402
132,26.573427,32.066235
133,26.773228,32.205093
134,26.973026,32.343967
135,27.172827,32.482845
136,27.372627,32.621674
137,27.572428,32.760525
138,27.772228,32.89934
139,27.972029,33.03812
140,28.171827,33.176872
141,28.371628,33.315548
142,28.571428,33.45424
143,28.771229,33.592865
144,28.97103,33.731403
145,29.17083,33.86989
146,29.37063,34.008297
147,29.570429,34.146656
148,29.77023,34.284893
149,29.97003,34.42303
150,30.16983,34.56111
151,30.36963,34.699036
152,30.569431,34.836884
153,30.76923,34.97458
154,30.96903,35.11217
155,31.16883,35.249638
156,31.368631,35.386948
157,31.568432,35.524113
158,31.768232,35.66109
159,31.968033,35.79796
160,32.16783,35.934628
161,32.367634,36.071148
162,32.567432,36.20743
163,32.76723,36.34361
164,32.967033,36.479538
165,33.166832,36.615276
166,33.366634,36.75082
167,33.566433,36.88614
168,33.766235,37.02124
169,33.966034,37.15615
170,34.165833,37.29082
171,34.365635,37.425293
172,34.565434,37.55947
173,34.765236,37.693462
174,34.965034,37.82717
175,35.164837,37.960663
176,35.364635,38.093853
177,35.564434,38.22686
178,35.764236,38.35954
179,35.964035,38.492
180,36.163837,38.62421
181,36.363636,38.756084
182,36.56344,38.887753
183,36.763237,39.019115
184,36.963036,39.150208
185,37.162838,39.28102
186,37.362637,39.41155
187,37.56244,39.54179
188,37.762238,39.67174
189,37.962036,39.801426
190,38.16184,39.930775
191,38.361637,40.05992
192,38.56144,40.18869
193,38.76124,40.31721
194,38.96104,40.445435
195,39.16084,40.573364
196,39.360638,40.701004
197,39.56044,40.828346
198,39.76024,40.955387
199,39.96004,41.082138
200,40.15984,41.20856
201,40.359642,41.33473
202,40.55944,41.460594
203,40.75924,41.586174
204,40.95904,41.711445
205,41.15884,41.836437
206,41.358643,41.96113
207,41.55844,42.08554
208,41.758244,42.20964
209,41.958042,42.33345
210,42.15784,42.457005
211,42.357643,42.580242
212,42.55744,42.70322
213,42.757244,42.82589
214,42.957043,42.948273
215,43.15684,43.07039
216,43.356644,43.19224
217,43.556442,43.313797
218,43.756245,43.435074
219,43.956043,43.556095
220,44.155846,43.67681
221,44.355644,43.79731
222,44.555443,43.917522
223,44.755245,44.03748
224,44.955044,44.15711
225,45.154846,44.276543
226,45.354645,44.3957
227,45.554447,44.514606
228,45.754246,44.633205
229,45.954044,44.75163
230,46.153847,44.86979
231,46.353645,44.987675
232,46.553448,45.105316
233,46.753246,45.2227
234,46.95305,45.339916
235,47.152847,45.456833
236,47.352646,45.57353
237,47.55245,45.690006
238,47.752247,45.806232
239,47.95205,45.92221
240,48.151848,46.038013
241,48.35165,46.153564
242,48.55145,46.268917
243,48.751247,46.38399
244,48.95105,46.498917
245,49.15085,46.613575
246,49.35065,46.728024
247,49.55045,46.84232
248,49.750248,46.956387
249,49.95005,47.070232
250,50.14985,47.183853
251,50.34965,47.297325
252,50.54945,47.41055
253,50.749252,47.52363
254,50.94905,47.63647
255,51.14885,47.749157
256,51.34865,47.861618
257,51.54845,47.973904
258,51.748253,48.086025
259,51.94805,48.19795
260,52.147854,48.30966
261,52.347652,48.421238
262,52.54745,48.53258
263,52.747253,48.643803
264,52.947052,48.754856
265,53.146854,48.865685
266,53.346653,48.976357
267,53.546455,49.086903
268,53.746254,49.197254
269,53.946053,49.307404
270,54.145855,49.417427
271,54.345654,49.527287
272,54.545456,49.636963
273,54.745255,49.746483
274,54.945053,49.855865
275,55.144855,49.965084
276,55.344654,50.074116
277,55.544456,50.18304
278,55.744255,50.291763
279,55.944057,50.400394
280,56.143856,50.508846
281,56.343655,50.61711
282,56.543457,50.725296
283,56.743256,50.833267
284,56.943058,50.94109
285,57.142857,51.048805
286,57.34266,51.156364
287,57.542458,51.263756
288,57.742256,51.371037
289,57.94206,51.478146
290,58.141857,51.585148
291,58.34166,51.69199
292,58.54146,51.798664
293,58.74126,51.905243
294,58.94106,52.011642
295,59.140858,52.11794
296,59.34066,52.224083
297,59.54046,52.330093
298,59.74026,52.435955
299,59.94006,52.541668
300,60.13986,52.647263
301,60.33966,52.752693
302,60.53946,52.85799
303,60.73926,52.963192
304,60.93906,53.068256
305,61.138863,53.173153
306,61.33866,53.2779
307,61.53846,53.382538
308,61.738262,53.487076
309,61.93806,53.591446
310,62.137863,53.69567
311,62.33766,53.799778
312,62.537464,53.903732
313,62.737263,54.007565
314,62.93706,54.111263
315,63.136864,54.2148
316,63.336662,54.31824
317,63.536465,54.421524
318,63.736263,54.524685
319,63.936066,54.627705
320,64.135864,54.730568
321,64.33566,54.833336
322,64.53546,54.935966
323,64.73527,55.038418
324,64.93507,55.140766
325,65.134865,55.242977
326,65.33466,55.34504
327,65.53446,55.446983
328,65.73427,55.548786
329,65.93407,55.650425
330,66.133865,55.75194
331,66.333664,55.853333
332,66.53347,55.954586
333,66.73327,56.055664
334,66.93307,56.156647
335,67.132866,56.257477
336,67.332664,56.358154
337,67.53247,56.45869
338,67.73227,56.55912
339,67.93207,56.65938
340,68.13187,56.759506
341,68.331665,56.85947
342,68.53147,56.95933
343,68.73127,57.059017
344,68.93107,57.15857
345,69.13087,57.258007
346,69.330666,57.357265
347,69.53047,57.456375
348,69.73027,57.555355
349,69.93007,57.654186
350,70.12987,57.75287
351,70.32967,57.851406
352,70.52947,57.949814
353,70.72927,58.048058
354,70.92907,58.146126
355,71.12887,58.244087
356,71.328674,58.34189
357,71.52847,58.43956
358,71.72827,58.537052
359,71.92807,58.63443
360,72.12787,58.731606
361,72.327675,58.82868
362,72.52747,58.92557
363,72.72727,59.0223
364,72.92707,59.118927
365,73.12688,59.215366
366,73.326675,59.311634
367,73.526474,59.407787
368,73.72627,59.503757
369,73.92607,59.59962
370,74.12588,59.695263
371,74.325676,59.79081
372,74.525475,59.886177
373,74.72527,59.981384
374,74.92507,60.076435
375,75.12488,60.17132
376,75.32468,60.266056
377,75.524475,60.36064
378,75.72427,60.45507
379,75.92407,60.549324
380,76.12388,60.643433
381,76.32368,60.73737
382,76.523476,60.831135
383,76.723274,60.924786
384,76.92308,61.018234
385,77.12288,61.111565
386,77.32268,61.204674
387,77.52248,61.297638
388,77.722275,61.390488
389,77.92208,61.483147
390,78.12188,61.57564
391,78.32168,61.66799
392,78.52148,61.760117
393,78.721275,61.852154
394,78.92108,61.94402
395,79.12088,62.035686
396,79.32068,62.12719
397,79.52048,62.21855
398,79.72028,62.309734
