,0
0,5551.9536
1,5550.8564
2,5549.7524
3,5548.6426
4,5547.526
5,5546.4023
6,5545.27
7,5544.13
8,5542.9805
9,5541.82
10,5540.6484
11,5539.4653
12,5538.2695
13,5537.06
14,5535.8374
15,5534.601
16,5533.348
17,5532.08
18,5530.797
19,5529.495
20,5528.1753
21,5526.837
22,5525.479
23,5524.1006
24,5522.701
25,5521.2793
26,5519.8335
27,5518.365
28,5516.873
29,5515.355
30,5513.81
31,5512.2397
32,5510.6416
33,5509.015
34,5507.3604
35,5505.6763
36,5503.963
37,5502.2183
38,5500.4424
39,5498.6357
40,5496.7964
41,5494.925
42,5493.0205
43,5491.0835
44,5489.1123
45,5487.108
46,5485.069
47,5482.9966
48,5480.8896
49,5478.748
50,5476.5728
51,5474.364
52,5472.1196
53,5469.8413
54,5467.5293
55,5465.1836
56,5462.8037
57,5460.391
58,5457.9453
59,5455.467
60,5452.956
61,5450.413
62,5447.839
63,5445.2324
64,5442.598
65,5439.9316
66,5437.2363
67,5434.511
68,5431.7593
69,5428.979
70,5426.1714
71,5423.3384
72,5420.479
73,5417.5957
74,5414.687
75,5411.7554
76,5408.8013
77,5405.825
78,5402.828
79,5399.8105
80,5396.7734
81,5393.7183
82,5390.646
83,5387.5557
84,5384.4487
85,5381.327
86,5378.191
87,5375.0415
88,5371.8794
89,5368.7046
90,5365.5186
91,5362.3228
92,5359.117
93,5355.903
94,5352.68
95,5349.451
96,5346.216
97,5342.974
98,5339.7285
99,5336.4775
100,5333.225
101,5329.9683
102,5326.711
103,5323.451
104,5320.192
105,5316.932
106,5313.674
107,5310.416
108,5307.1616
109,5303.909
110,5300.6606
111,5297.416
112,5294.175
113,5290.9395
114,5287.71
115,5284.487
116,5281.27
117,5278.061
118,5274.86
119,5271.6665
120,5268.4814
121,5265.3057
122,5262.14
123,5258.985
124,5255.839
125,5252.705
126,5249.582
127,5246.469
128,5243.37
129,5240.282
130,5237.208
131,5234.1465
132,5231.098
133,5228.063
134,5225.042
135,5222.036
136,5219.044
137,5216.0664
138,5213.104
139,5210.1562
140,5207.2236
141,5204.307
142,5201.406
143,5198.521
144,5195.652
145,5192.8
146,5189.9624
147,5187.1416
148,5184.338
149,5181.5513
150,5178.7803
151,5176.026
152,5173.289
153,5170.5693
154,5167.866
155,5165.179
156,5162.5103
157,5159.857
158,5157.2217
159,5154.6025
160,5152.0
161,5149.415
162,5146.847
163,5144.295
164,5141.7603
165,5139.2417
166,5136.7407
167,5134.2554
168,5131.7866
169,5129.3345
170,5126.8994
171,5124.4795
172,5122.076
