# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.266808398437500000e+04 3.492048046875000000e+04 9.951570034027099609e-01
1.000000000000000000e+03 1.762498242187500000e+04 1.875702343750000000e+04 7.293457388877868652e-01
2.000000000000000000e+03 9.909338867187500000e+03 1.044165234375000000e+04 5.441718697547912598e-01
3.000000000000000000e+03 5.313467773437500000e+03 5.461094238281250000e+03 3.935422003269195557e-01
4.000000000000000000e+03 2.665370117187500000e+03 2.602713867187500000e+03 2.716843783855438232e-01
5.000000000000000000e+03 1.216883911132812500e+03 1.090225708007812500e+03 1.758367568254470825e-01
6.000000000000000000e+03 5.004121398925781250e+02 3.844825134277343750e+02 1.044214516878128052e-01
7.000000000000000000e+03 1.736428375244140625e+02 1.050348281860351562e+02 5.457805842161178589e-02
8.000000000000000000e+03 4.900953674316406250e+01 2.042054367065429688e+01 2.406495250761508942e-02
9.000000000000000000e+03 1.024617385864257812e+01 2.668106555938720703e+00 8.698672056198120117e-03
1.000000000000000000e+04 1.132278919219970703e+00 5.646198987960815430e-01 4.001557361334562302e-03
1.100000000000000000e+04 1.443002223968505859e-01 5.061795115470886230e-01 3.788824658840894699e-03
1.200000000000000000e+04 3.612133860588073730e-02 4.284760653972625732e-01 3.485894529148936272e-03
1.300000000000000000e+04 3.651196658611297607e-01 6.715053915977478027e-01 4.363926593214273453e-03
1.400000000000000000e+04 1.082524191588163376e-03 2.535840272903442383e-01 2.681714249774813652e-03
1.500000000000000000e+04 3.623626253101974726e-04 2.166382372379302979e-01 2.478672889992594719e-03
1.600000000000000000e+04 1.541901729069650173e-04 1.825803965330123901e-01 2.275508828461170197e-03
1.700000000000000000e+04 7.589025335619226098e-05 1.578024178743362427e-01 2.115477109327912331e-03
1.800000000000000000e+04 9.167384996544569731e-05 1.350971758365631104e-01 1.957378117367625237e-03
1.900000000000000000e+04 6.131107802502810955e-04 1.173714324831962585e-01 1.824452308937907219e-03
2.000000000000000000e+04 3.092239378020167351e-03 1.027036607265472412e-01 1.706649898551404476e-03
2.100000000000000000e+04 1.471015214920043945e+00 1.825845599174499512e+00 7.195858750492334366e-03
2.200000000000000000e+04 6.161918281577527523e-05 7.899603247642517090e-02 1.496767508797347546e-03
2.300000000000000000e+04 5.067514575785025954e-05 6.946850568056106567e-02 1.403607078827917576e-03
2.400000000000000000e+04 5.421779133030213416e-05 6.213643401861190796e-02 1.327470294199883938e-03
2.500000000000000000e+04 6.327359733404591680e-05 5.592271313071250916e-02 1.259348122403025627e-03
2.600000000000000000e+04 5.505105108022689819e-02 1.169162988662719727e-01 1.820901874452829361e-03
2.700000000000000000e+04 8.477604569634422660e-05 4.569063708186149597e-02 1.138322637416422367e-03
2.800000000000000000e+04 6.459072232246398926e-02 1.185918748378753662e-01 1.833902206271886826e-03
2.900000000000000000e+04 9.432189108338207006e-05 3.922653198242187500e-02 1.054731081239879131e-03
3.000000000000000000e+04 2.880648151040077209e-02 7.648384571075439453e-02 1.472786185331642628e-03
3.100000000000000000e+04 1.204597647301852703e-03 3.838910162448883057e-02 1.043410738930106163e-03
3.200000000000000000e+04 3.793805837631225586e-01 5.098121762275695801e-01 3.802404506132006645e-03
3.300000000000000000e+04 1.795256684999912977e-04 3.426661714911460876e-02 9.857977274805307388e-04
3.400000000000000000e+04 1.306322985328733921e-03 3.595188260078430176e-02 1.009750179946422577e-03
3.500000000000000000e+04 3.583893412724137306e-03 3.871434926986694336e-02 1.047827769070863724e-03
3.600000000000000000e+04 8.377187186852097511e-04 3.393060714006423950e-02 9.809491457417607307e-04
3.700000000000000000e+04 1.109739532694220543e-04 3.330536559224128723e-02 9.718717774376273155e-04
3.800000000000000000e+04 4.819803871214389801e-04 3.325770422816276550e-02 9.711742168292403221e-04
3.900000000000000000e+04 4.543045908212661743e-02 8.253801614046096802e-02 1.529942499473690987e-03
4.000000000000000000e+04 1.358563601970672607e-01 2.048188298940658569e-01 2.410121960565447807e-03
4.100000000000000000e+04 4.752594686578959227e-04 3.326527774333953857e-02 9.712880128063261509e-04
4.200000000000000000e+04 7.588780019432306290e-03 4.183217510581016541e-02 1.089190714992582798e-03
4.300000000000000000e+04 1.319073606282472610e-02 4.840911179780960083e-02 1.171688083559274673e-03
4.400000000000000000e+04 1.306453341385349631e-04 3.423024713993072510e-02 9.852728107944130898e-04
4.500000000000000000e+04 1.389383710920810699e-02 5.283593013882637024e-02 1.224107109010219574e-03
4.600000000000000000e+04 7.320187985897064209e-02 1.241413280367851257e-01 1.876318943686783314e-03
4.700000000000000000e+04 1.418227184331044555e-04 3.857867792248725891e-02 1.045984216034412384e-03
4.800000000000000000e+04 7.398235611617565155e-03 4.815108329057693481e-02 1.168563147075474262e-03
4.900000000000000000e+04 2.299341931939125061e-02 7.026318460702896118e-02 1.411622273735702038e-03
5.000000000000000000e+04 1.191864982247352600e-01 1.930643320083618164e-01 2.339941915124654770e-03
